0,1,2,3,4
179.0,1455.0,251.0,277.0,238.0
179.0,1451.0,258.0,277.0,235.0
179.0,1447.0,267.0,275.0,232.0
179.0,1442.0,273.0,274.0,232.0
179.0,1437.0,278.0,274.0,232.0
180.0,1433.0,281.0,276.0,230.0
180.0,1429.0,285.0,279.0,227.0
180.0,1425.0,288.0,279.0,228.0
181.0,1419.0,290.0,283.0,227.0
187.0,1416.0,291.0,282.0,224.0
182.0,1412.0,294.0,285.0,227.0
181.0,1408.0,295.0,287.0,229.0
180.0,1403.0,294.0,290.0,233.0
179.0,1401.0,294.0,291.0,235.0
179.0,1397.0,292.0,295.0,237.0
179.0,1393.0,293.0,298.0,237.0
178.0,1390.0,293.0,299.0,240.0
178.0,1385.0,293.0,303.0,241.0
179.0,1383.0,291.0,307.0,240.0
178.0,1376.0,293.0,311.0,242.0
178.0,1373.0,293.0,310.0,246.0
179.0,1369.0,293.0,311.0,248.0
179.0,1365.0,293.0,314.0,249.0
178.0,1360.0,288.0,322.0,252.0
177.0,1357.0,287.0,327.0,252.0
175.0,1353.0,286.0,327.0,259.0
175.0,1351.0,287.0,330.0,257.0
176.0,1344.0,287.0,333.0,260.0
176.0,1335.0,287.0,338.0,264.0
176.0,1334.0,288.0,338.0,264.0
175.0,1333.0,287.0,339.0,266.0
173.0,1332.0,287.0,340.0,268.0
174.0,1330.0,286.0,340.0,270.0
176.0,1327.0,286.0,341.0,270.0
176.0,1320.0,284.0,348.0,272.0
175.0,1314.0,283.0,352.0,276.0
174.0,1310.0,283.0,353.0,280.0
175.0,1307.0,281.0,356.0,281.0
175.0,1304.0,282.0,357.0,282.0
176.0,1301.0,282.0,360.0,281.0
176.0,1295.0,282.0,364.0,283.0
176.0,1291.0,282.0,365.0,286.0
176.0,1288.0,284.0,367.0,285.0
176.0,1287.0,286.0,366.0,285.0
176.0,1279.0,286.0,368.0,291.0
176.0,1275.0,286.0,371.0,292.0
178.0,1273.0,286.0,370.0,293.0
177.0,1268.0,286.0,369.0,300.0
177.0,1265.0,285.0,370.0,303.0
177.0,1262.0,286.0,372.0,303.0
178.0,1258.0,288.0,372.0,304.0
178.0,1252.0,289.0,375.0,306.0
180.0,1250.0,288.0,375.0,307.0
180.0,1245.0,288.0,377.0,310.0
179.0,1240.0,290.0,379.0,312.0
179.0,1237.0,292.0,379.0,313.0
180.0,1232.0,293.0,381.0,314.0
181.0,1229.0,293.0,382.0,315.0
181.0,1224.0,295.0,383.0,317.0
182.0,1220.0,296.0,384.0,318.0
182.0,1217.0,298.0,383.0,320.0
185.0,1213.0,297.0,384.0,321.0
186.0,1209.0,298.0,384.0,323.0
187.0,1205.0,299.0,385.0,324.0
187.0,1199.0,300.0,386.0,328.0
188.0,1196.0,301.0,386.0,329.0
189.0,1194.0,301.0,385.0,331.0
190.0,1189.0,302.0,387.0,332.0
190.0,1184.0,303.0,387.0,336.0
192.0,1180.0,306.0,385.0,337.0
193.0,1177.0,305.0,387.0,338.0
195.0,1172.0,304.0,389.0,340.0
196.0,1169.0,304.0,390.0,341.0
197.0,1163.0,304.0,393.0,343.0
198.0,1159.0,306.0,392.0,345.0
201.0,1155.0,307.0,392.0,345.0
201.0,1152.0,308.0,392.0,347.0
202.0,1146.0,309.0,394.0,349.0
202.0,1142.0,310.0,393.0,353.0
204.0,1139.0,311.0,392.0,354.0
205.0,1135.0,311.0,393.0,356.0
206.0,1130.0,310.0,395.0,359.0
208.0,1125.0,310.0,396.0,361.0
209.0,1124.0,311.0,394.0,362.0
211.0,1118.0,313.0,397.0,361.0
213.0,1113.0,313.0,397.0,364.0
216.0,1110.0,313.0,396.0,365.0
217.0,1106.0,313.0,399.0,365.0
218.0,1102.0,314.0,399.0,367.0
220.0,1096.0,314.0,400.0,370.0
221.0,1092.0,317.0,399.0,371.0
223.0,1088.0,316.0,402.0,371.0
223.0,1084.0,317.0,403.0,373.0
225.0,1081.0,318.0,402.0,374.0
226.0,1076.0,319.0,403.0,376.0
227.0,1071.0,319.0,404.0,379.0
228.0,1066.0,319.0,406.0,381.0
230.0,1062.0,320.0,406.0,382.0
232.0,1059.0,320.0,407.0,382.0
234.0,1055.0,321.0,407.0,383.0
235.0,1051.0,322.0,407.0,385.0
237.0,1046.0,322.0,407.0,388.0
